Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
C163486 prelayout exact-code probe,R_ILIM_CTRL,,C163486,1,OK,C163486,expand,5972,RC0402FR-07187KL,YAGEO,0402,0.0012
C165948 prelayout exact-code probe,"J_DATA,J_POWER",,C165948,2,OK,C165948,expand,418240,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,0.1848
C17700166 prelayout exact-code probe,L_PD,,C17700166,1,OK,C17700166,expand,299,MWSA0804S-3R3MT,Sunlord,"SMD,8.8x8.2mm",0.2619
C190095 prelayout exact-code probe,R_PD_FB_BOT,,C190095,1,OK,C190095,expand,485102,RT0402BRD0710KL,YAGEO,0402,0.0271
C19271634 prelayout exact-code probe,C_CTRL_VUSB,,C19271634,1,OK,C19271634,expand,30917,GRM155R61H334KE01D,Murata Electronics,0402,0.0303
C19702 prelayout exact-code probe,C_BUCK_IN,,C19702,1,OK,C19702,base,14599022,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,0.0387
C1985204 prelayout exact-code probe,Y_HUB,,C1985204,1,OK,C1985204,expand,8,CX3225SB24000H0FLJCC,--,SMD3225-4P,0.8738
C21397 prelayout exact-code probe,"C_BUCK_OUT1,C_BUCK_OUT2,C_PD_OUT1,C_PD_OUT2,C_PD_OUT3,C_PORT1_BULK,C_PORT2_BULK,C_PORT3_BULK,C_PORT4_BULK,C_TRUNK_BULK",,C21397,10,OK,C21397,expand,106369,GRM32ER71E226KE15L,Murata Electronics,1210,0.6845
C22928 prelayout exact-code probe,R_PD_IN_UV_MID,,C22928,1,OK,C22928,expand,15471,0603WAF2872T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0017
C23025 prelayout exact-code probe,R_AGG_ILIM,,C23025,1,OK,C23025,base,833635,0603WAF3000T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0104
C23027 prelayout exact-code probe,R_PD_IN_OV_BOT,,C23027,1,OK,C23027,expand,11921,0603WAF3572T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0024
C23178 prelayout exact-code probe,R_PD_IN_UV_TOP,,C23178,1,OK,C23178,base,1352001,0603WAF4703T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0074
C25741 prelayout exact-code probe,"R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT",,C25741,8,OK,C25741,base,15044086,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0053
C25744 prelayout exact-code probe,"R_BOOST0,R_BOOST1,R_CFG0,R_CFG1,R_CFG2,R_CTRL_RESET,R_DATA_CMD1,R_DATA_CMD2,R_DATA_CMD3,R_DATA_CMD4,R_DATA_OE1,R_DATA_OE2,R_DATA_OE3,R_DATA_OE4,R_DATA_OK1,R_DATA_OK2,R_DATA_OK3,R_DATA_OK4,R_DIS6N,R_DIS6P,R_DIS7N,R_DIS7P,R_EXP_RESET,R_GANG,R_HUB_RESET,R_NONREM0,R_NONREM1,R_PD_VBUS,R_PWR_CMD1,R_PWR_CMD2,R_PWR_CMD3,R_PWR_CMD4,R_PWR_EN1,R_PWR_EN2,R_PWR_EN3,R_PWR_EN4",,C25744,36,OK,C25744,base,4988437,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0019
C25764 prelayout exact-code probe,R_PD_UV_TOP,,C25764,1,OK,C25764,base,1352693,0402WGF2003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0032
C25765 prelayout exact-code probe,R_PD_FF,,C25765,1,OK,C25765,base,2845546,0402WGF2002TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0048
C25792 prelayout exact-code probe,R_VBUS_TOP,,C25792,1,OK,C25792,base,6979723,0402WGF4702TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0046
C25900 prelayout exact-code probe,"R_I2C_SCL,R_I2C_SDA",,C25900,2,OK,C25900,base,22323863,0402WGF4701TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0049
C25905 prelayout exact-code probe,"R_CC1,R_CC2",,C25905,2,OK,C25905,base,9207643,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0043
C2649846 prelayout exact-code probe,D_PD_TVS,,C2649846,1,OK,C2649846,expand,2857,TVS1800DRVR,Texas Instruments,WSON-6(2x2),0.3981
C26971 prelayout exact-code probe,R_PD_UV_BOT,,C26971,1,OK,C26971,expand,11616,0402WGF2742TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0011
C2878936 prelayout exact-code probe,U_AGG,,C2878936,1,OK,C2878936,expand,122,TPS259804ONRGER,Texas Instruments,VQFN-24-EP(4x4),1.7475
C3662799 prelayout exact-code probe,"U_PD_IN,U_PWR1,U_PWR2,U_PWR3,U_PWR4",,C3662799,5,OK,C3662799,expand,1120,TPS259470ARPWR,Texas Instruments,QFN-10(2x2),1.3997
C3708426 prelayout exact-code probe,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD_UP",,C3708426,5,OK,C3708426,expand,66,PESD2USB3UX-TR,Nexperia,SOT-23,0.214
C478081 prelayout exact-code probe,U_HUB,,C478081,1,OK,C478081,expand,3292,USB2517I-JZX,Microchip Tech,QFN-64-EP(9x9),4.2895
C503996 prelayout exact-code probe,"J_PORT1,J_PORT2,J_PORT3,J_PORT4",,C503996,4,OK,C503996,expand,8457,KH-AF90DIP-112,Shenzhen Kinghelm Elec,Push-Pull,0.0442
C52444 prelayout exact-code probe,R_PD_VDD,,C52444,1,OK,C52444,expand,36080,1210W2F1001T5E,UNI-ROYAL(Uniroyal Elec),1210,0.0292
C5248536 prelayout exact-code probe,U_BUCK,,C5248536,1,OK,C5248536,expand,1789,AP63203QWU-7,Diodes Incorporated,TSOT-23-6,2.0048
C52923 prelayout exact-code probe,"C_HUB_18,C_HUB_18PLL,C_HUB_A_BULK,C_HUB_CR_BULK,C_HUB_RESET,C_PD_VDD,C_PWR_CTRL_OUT",,C52923,7,OK,C52923,base,14346814,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,0.012
C5360793 prelayout exact-code probe,C_PD_IN_HF,,C5360793,1,OK,C5360793,expand,394656,TCC0603X7R105K500CT,CCTC,0603,0.0293
C5449000 prelayout exact-code probe,"C_PD_IN1,C_PD_IN2",,C5449000,2,OK,C5449000,expand,171206,TCC1206X7R106K500HT,CCTC,1206,0.2966
C558584 prelayout exact-code probe,U_EXP,,C558584,1,OK,C558584,expand,3572,MCP23017T-E/SS,Microchip Tech,SSOP-28,1.7168
C60474 prelayout exact-code probe,"C_AGG_IN,C_AND_DATA,C_AND_PWR,C_BST,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PD_BOOT,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF,C_TRUNK_HF",,C60474,29,OK,C60474,expand,6895987,CC0402KRX7R7BB104,YAGEO,0402,0.0056
C6053 prelayout exact-code probe,"U_AND_DATA,U_AND_PWR",,C6053,2,OK,C6053,expand,1358,"74LVC08APW,118",Nexperia,TSSOP-14,0.1377
C640876 prelayout exact-code probe,U_CTRL,,C640876,1,OK,C640876,expand,27,MCP2221A-I/SL,Microchip Tech,SOIC-14,5.9027
C841386 prelayout exact-code probe,U_PD_BUCK,,C841386,1,OK,C841386,expand,2652,TPS56637RPAR,Texas Instruments,VQFN-10-HR(3x3),2.521
C85047 prelayout exact-code probe,"Q_DATA1,Q_DATA2,Q_DATA3,Q_DATA4",,C85047,4,OK,C85047,expand,19238,2N7002K-7,Diodes Incorporated,SOT-23,0.1203
C852745 prelayout exact-code probe,R_PD_FB_B,,C852745,1,OK,C852745,expand,1284,RT0402BRD07374RL,YAGEO,0402,0.028
C852909 prelayout exact-code probe,R_PD_FB_A,,C852909,1,OK,C852909,expand,14130,RT0402BRD0773K2L,YAGEO,0402,0.0277
C861376 prelayout exact-code probe,"R_ILIM1,R_ILIM2,R_ILIM3,R_ILIM4",,C861376,4,OK,C861376,expand,4854,RT0603BRD073K32L,YAGEO,0603,0.0348
C970725 prelayout exact-code probe,U_PD,,C970725,1,OK,C970725,expand,7374,CH224K,WCH(Jiangsu Qin Heng),ESSOP-10-150mil-1mm,0.4871
