Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
SMBJ15A,D1,D_SMB,C83846,1,OK,C83846,expand,31810,SMBJ15A,Littelfuse,DO-214AA,0.1303
TPD2EUSB30DRTR,D6,SOT-9X3,C97502,1,OK,C97502,expand,7781,TPD2EUSB30DRTR,Texas Instruments,SOT(9x3),0.602
TPS2513ADBVR,"U7,U8",SOT-23-6,C473910,2,OK,C473910,expand,60,TPS2513ADBVR,Texas Instruments,SOT-23-6,0.314
TPS2559DRCR,"U4,U5,U6",Texas_DRC0010J,C206199,3,OK,C206199,expand,248,TPS2559DRCR,Texas Instruments,VSON-10-EP(3x3),1.144
TPS25810RVCR,U3,Texas_RVC0020A_WQFN-20-1EP_3x4mm_P0.5mm_EP1.6x2.6mm_ThermalVias,C473913,1,OK,C473913,expand,305,TPS25810RVCR,Texas Instruments,WQFN-20-EP(3x4),0.6408
TPS259827ONRGET,U9,TI_TPS25982_RGE0024_SplitPad_ThermalVias,C2155765,1,OK,C2155765,expand,9,TPS259827ONRGET,Texas Instruments,VQFN-24(4x4),2.8624
TPSM63604RDLR,U2,Texas_RDL0020A_B3QFN-20_5x5.5mm_ThermalVias,C5219289,1,OK,C5219289,expand,54,TPSM63604RDLR,Texas Instruments,B3QFN-20(5x5.5),13.6143
TPSM63610RDFR,U1,Texas_RDF0022A_B3QFN-22_6.5x7.5mm_ThermalVias,C7125816,1,OK,C7125816,expand,204,TPSM63610RDFR,Texas Instruments,B3QFN-22(6.5x7.5),16.0252
USB1130-15-A,"J2,J3,J4",USB_A_GCT_USB1130-15-A_Horizontal,C5815149,3,OK,C5815149,expand,143,USB1130-15-A,Global Connector Technology,Plugin,1.0825
USB4105-GF-A,J5,GCT_USB4105_GF_A,C3020560,1,OK,C3020560,expand,11018,USB4105-GF-A,Global Connector Technology,SMD,1.0566
USBLC6-2SC6,"D2,D3,D4",SOT-23-6,C7519,3,OK,C7519,expand,30604,USBLC6-2SC6,STMicroelectronics,SOT-23-6L,0.1814
