Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
150kΩ,R_AGG_UV_TOP,R_0603_1608Metric,C22807,1,OK,C22807,base,1098079,0603WAF1503T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0068
180uF,C_TRUNK_USB,Panasonic_C6_6.3x5.9,C136277,1,OK,C136277,expand,864,16SVPF180M,PANASONIC,"SMD,D6.3xL5.9mm",1.2637
187kΩ,R_ILIM_CTRL,R_0402_1005Metric,C163486,1,OK,C163486,expand,6092,RC0402FR-07187KL,YAGEO,0402,0.0012
18pF,"C_XTAL1,C_XTAL2",C_0402_1005Metric,C1549,2,OK,C1549,base,1314482,0402CG180J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0048
1MΩ,R_XTAL,R_0402_1005Metric,C138033,1,OK,C138033,expand,1810196,RC0402FR-071ML,YAGEO,0402,0.0055
1kΩ,"R_AGG_ILIM,R_PD_IN_ILIM",R_0603_1608Metric,C110776,2,OK,C110776,expand,861672,RT0603BRD071KL,YAGEO,0603,0.0326
1kΩ,R_PD_FB_B,R_0402_1005Metric,C11702,1,OK,C11702,base,16130221,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0067
1kΩ,R_PD_VDD,R_1210_3225Metric,C52444,1,OK,C52444,expand,36095,1210W2F1001T5E,UNI-ROYAL(Uniroyal Elec),1210,0.0292
1uF,"C_HUB_18,C_HUB_18PLL,C_HUB_A_BULK,C_HUB_CR_BULK,C_HUB_RESET,C_PD_VDD,C_PWR_CTRL_OUT",C_0402_1005Metric,C52923,7,OK,C52923,base,14501077,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,0.012
200kΩ,R_PD_UV_TOP,R_0402_1005Metric,C25764,1,OK,C25764,base,1382998,0402WGF2003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0032
20kΩ,R_PD_FF,R_0402_1005Metric,C25765,1,OK,C25765,base,2851832,0402WGF2002TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0048
22uF,"C_BUCK_OUT1,C_BUCK_OUT2,C_PD_OUT1,C_PD_OUT2,C_PD_OUT3,C_PORT1_BULK,C_PORT2_BULK,C_PORT3_BULK,C_PORT4_BULK,C_TRUNK_BULK",C_1210_3225Metric,C21397,10,OK,C21397,expand,100537,GRM32ER71E226KE15L,Murata Electronics,1210,0.6845
27.4kΩ,R_PD_UV_BOT,R_0402_1005Metric,C26971,1,OK,C26971,expand,11616,0402WGF2742TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0011
28.7kΩ,R_PD_IN_UV_MID,R_0603_1608Metric,C22928,1,OK,C22928,expand,15471,0603WAF2872T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0017
2N7002K-7,"Q_DATA1,Q_DATA2,Q_DATA3,Q_DATA4",Diodes_SOT23_2N7002K,C85047,4,OK,C85047,expand,19278,2N7002K-7,Diodes Incorporated,SOT-23,0.1203
3.3nF,"C_AGG_DVDT,C_AGG_TIMER,C_PD_IN_DVDT",C_0603_1608Metric,C107048,3,OK,C107048,expand,57697,CC0603JRNPO9BN332,YAGEO,0603,0.0292
3.3uH,L_MAIN,Sunlord_SWPA4030S,C15269,1,OK,C15269,expand,19358,SWPA4030S3R3MT,Sunlord,"SMD,4x4mm",0.0842
330nF,C_CTRL_VUSB,C_0402_1005Metric,C19271634,1,OK,C19271634,expand,31179,GRM155R61H334KE01D,Murata Electronics,0402,0.0303
35.7kΩ,R_PD_IN_OV_BOT,R_0603_1608Metric,C23027,1,OK,C23027,expand,11931,0603WAF3572T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0024
4.7kΩ,"R_I2C_SCL,R_I2C_SDA",R_0402_1005Metric,C25900,2,OK,C25900,base,22454904,0402WGF4701TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0049
43.2kΩ,R_AGG_OV_BOT,R_0603_1608Metric,C861404,1,OK,C861404,expand,4648,RT0603BRD0743K2L,YAGEO,0603,0.0356
470kΩ,R_PD_IN_UV_TOP,R_0603_1608Metric,C23178,1,OK,C23178,base,1355714,0603WAF4703T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0074
47kΩ,R_VBUS_TOP,R_0402_1005Metric,C25792,1,OK,C25792,base,6996655,0402WGF4702TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0046
5.1kΩ,"R_CC1,R_CC2",R_0402_1005Metric,C25905,2,OK,C25905,base,9233310,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0043
5.9kΩ,"R_ILIM1,R_ILIM2,R_ILIM3,R_ILIM4",R_0603_1608Metric,C23071,4,OK,C23071,expand,70370,0603WAF5901T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0029
"74LVC08APW,118","U_AND_DATA,U_AND_PWR",TSSOP-14_4.4x5mm_P0.65mm,C6053,2,OK,C6053,expand,1358,"74LVC08APW,118",Nexperia,TSSOP-14,0.1377
75kΩ,R_PD_FB_A,R_0402_1005Metric,C319478,1,OK,C319478,expand,9319,AR02BTD7502,Viking Tech,0402,0.0319
AP63203QWU-7,U_BUCK,TSOT-23-6,C5248536,1,OK,C5248536,expand,2224,AP63203QWU-7,Diodes Incorporated,TSOT-23-6,2.0048
CH224K,U_PD,WCH_CH224K_ESSOP10_EP,C970725,1,OK,C970725,expand,7474,CH224K,WCH(Jiangsu Qin Heng),ESSOP-10-150mil-1mm,0.4871
CX3225SB24000H0FLJCC,Y_HUB,Crystal_SMD_3225-4Pin_3.2x2.5mm,C1985204,1,OK,C1985204,expand,8,CX3225SB24000H0FLJCC,--,SMD3225-4P,0.8738
FSUSB42MUX,"U_DATA1,U_DATA2,U_DATA3,U_DATA4",MSOP-10_3x3mm_P0.5mm,C11355,4,OK,C11355,expand,52593,FSUSB42MUX,onsemi,MSOP-10,0.3165
KH-AF90DIP-112,"J_PORT1,J_PORT2,J_PORT3,J_PORT4",KH-AF90DIP-112_Horizontal,C503996,4,OK,C503996,expand,8457,KH-AF90DIP-112,Shenzhen Kinghelm Elec,Push-Pull,0.0442
MCP2221A-I/SL,U_CTRL,SOIC-14_3.9x8.7mm_P1.27mm,C640876,1,OK,C640876,expand,32,MCP2221A-I/SL,Microchip Tech,SOIC-14,5.9027
MCP23017T-E/SS,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,C558584,1,OK,C558584,expand,3588,MCP23017T-E/SS,Microchip Tech,SSOP-28,1.7168
MWSA0804S-3R3MT,L_PD,Sunlord_MWSA0804S,C17700166,1,OK,C17700166,expand,304,MWSA0804S-3R3MT,Sunlord,"SMD,8.8x8.2mm",0.2619
PESD2USB3UX-TR,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD_UP",SOT-23,C3708426,5,OK,C3708426,expand,78,PESD2USB3UX-TR,Nexperia,SOT-23,0.214
SMF16A,D_PD_TVS,Littelfuse_SMF_SOD-123FL,C207257,1,OK,C207257,expand,5129,SMF16A,Littelfuse,SOD-123FL,0.1476
TPS2557DRBR,U_PWR_CTRL,VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,C130056,1,OK,C130056,expand,2552,TPS2557DRBR,Texas Instruments,SON-8(3x3),1.2411
TPS259470ARPWR,"U_PD_IN,U_PWR1,U_PWR2,U_PWR3,U_PWR4",TI_RPW0010A_VQFN-HR-10_2x2mm_P0.45mm,C3662799,5,OK,C3662799,expand,1123,TPS259470ARPWR,Texas Instruments,QFN-10(2x2),1.3997
TPS259474LRPWR,U_AGG,TI_RPW0010A_VQFN-HR-10_2x2mm_P0.45mm,C2864845,1,OK,C2864845,expand,3381,TPS259474LRPWR,Texas Instruments,VQFN-10-HR(2x2),1.3673
TPS56637RPAR,U_PD_BUCK,TI_RPA0010A_VQFN-HR-10_3x3mm,C841386,1,OK,C841386,expand,2660,TPS56637RPAR,Texas Instruments,VQFN-10-HR(3x3),2.521
TYPE-C-31-M-12,"J_DATA,J_POWER",TYPE-C-31-M-12_Datasheet,C165948,2,OK,C165948,expand,422483,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,0.1848
USB2517I-JZX,U_HUB,QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_ThermalVias,C478081,1,OK,C478081,expand,3292,USB2517I-JZX,Microchip Tech,QFN-64-EP(9x9),4.2895
