Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
C189896,"J_DOOR,J_ESTOP,J_MODE,J_RH_AMBIENT,J_RH_EXHAUST",JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,C189896,5,OK,C189896,expand,82037,SM05B-GHS-TB(LF)(SN),"SMD,P=1.25mm,Surface Mount，Right Angle",0.2004
C22046,"U_AND1,U_AND2,U_AND3,U_FAULTAND",SOT-23-6,C22046,4,OK,C22046,expand,3412,SN74LVC1G11DBVR,SOT-23-6,0.2122
C265111,"J_THERM_A,J_THERM_B",JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,C265111,2,OK,C265111,expand,10288,SM08B-GHS-TB(LF)(SN),"SMD,P=1.25mm,Surface Mount，Right Angle",0.559
C2653162,U_TC,TSSOP-14_4.4x5mm_P0.65mm,C2653162,1,OK,C2653162,expand,7431,MAX31856MUD+T,TSSOP-14,4.309
C2653844,U_EFUSE,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C2653844,1,OK,C2653844,expand,160,TPS259573DSGR,WSON-8-EP(2x2),0.464
C2683602,J_KEY_MATRIX,JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,C2683602,1,OK,C2683602,expand,8687,SM10B-GHS-TB,"SMD,P=1.25mm,Surface Mount，Right Angle",0.5348
C35165,J_PI,PinSocket_2x20_P2.54mm_Vertical,C35165,1,OK,C35165,expand,5368,2.54-2*20PFemale longPC104,"Plugin,P=2.54mm",1.0326
C474892,J_CONTACTOR,TerminalBlock_KF350_2P,C474892,1,OK,C474892,expand,10032,KF350-3.5-2P,"Plugin,P=3.5mm",0.1175
C506653,U_EXP,SSOP-28_5.3x10.2mm_P0.65mm,C506653,1,OK,C506653,expand,1611,MCP23017-E/SS,SSOP-28(5.3x10.2x0.65),1.8734
C5158048,"D_DOOR,D_ESD_IN,D_ESTOP,D_LCCLK,D_LCDAT",D_SOD-323,C5158048,5,OK,C5158048,expand,231424,PESD5V0S1BA,SOD-323,0.0184
C5620,"U_DECD,U_DECU",SOIC-16_3.9x9.9mm_P1.27mm,C5620,2,OK,C5620,expand,5604,"74HC238D,653",SOIC-16,0.5912
C587657,J_PWR,Molex_Micro-Fit_3.0_43650-0224_1x02-1MP_P3.00mm_Vertical,C587657,1,OK,C587657,expand,778,436500224,"SMD,P=3mm",0.799
C6186,U_LDO,SOT-223,C6186,1,OK,C6186,base,1376441,AMS1117-3.3,SOT-223,0.1983
C67470,U_COMP,SOIC-8_3.9x4.9mm_P1.27mm,C67470,1,OK,C67470,expand,188220,LM393DR,SOIC-8,0.0733
C6820,U_SCHM,SOIC-14_3.9x8.7mm_P1.27mm,C6820,1,OK,C6820,expand,85706,SN74HC14DR,SOIC-14,0.1549
C7719,U_WD,SOT-23-5,C7719,1,OK,C7719,expand,56649,TPS3823-33DBVR,SOT-23-5,0.27
C8185,"U_LATCHA,U_LATCHB,U_OENAND",SOT-353_SC-70-5,C8185,3,OK,C8185,expand,18334,SN74LVC1G00DCKR,SOT-353,0.0859
C8545,"Q_COILDRV,Q_SWDRVA,Q_SWDRVB,Q_SWDRVRHA,Q_SWDRVRHE",SOT-23,C8545,5,OK,C8545,base,185259,2N7002,SOT-23,0.0176
C8678,D_REVCLAMP,D_SMA,C8678,1,OK,C8678,base,2479223,SS34,SMA(DO-214AC),0.0348
C89650,F1,Fuse_1812_4532Metric,C89650,1,OK,C89650,expand,244,MF-MSMF200L-2,1812,0.0489
C9683,"U_ULNA,U_ULNB",SOIC-18W_7.5x11.6mm_P1.27mm,C9683,2,OK,C9683,expand,2380,ULN2803ADWR,SOIC-18-300mil,6.2162
